ProductKey,Unit Price,Margin,TotalSales
307,369.00,54.01,350.55
1064,627.00,66.86,2445.30
2144,149.00,49.02,149.00
1820,32.00,49.03,28.80
549,139.00,49.01,347.50
2035,99.99,49.01,74.9925
1858,1989.90,54.01,4895.154
1557,310.00,54.01,1984.00
955,196.90,54.01,196.90
282,409.00,49.01,2208.60
1058,312.00,54.01,3120.00
929,33.99,49.01,594.825
2335,339.00,54.01,2712.00
2400,399.99,54.01,2399.94
2393,399.99,54.01,1199.97
1786,43.00,49.02,172.00
151,1184.97,66.86,2251.443
532,259.00,54.01,2072.00
1014,129.00,54.01,851.40
1704,6.99,49.07,29.358
1198,411.00,49.01,5343.00
2094,257.50,49.01,1854.00
831,19.90,48.99,59.70
958,129.00,54.01,425.70
1081,568.00,66.86,3748.80
2315,101.99,49.01,407.96
2003,179.99,54.01,674.9625
1579,219.00,66.86,657.00
1431,256.00,54.01,2560.00
1974,129.99,49.01,818.937
1408,529.00,66.86,4232.00
265,360.00,49.01,1368.00
597,139.00,49.01,1251.00
1623,219.00,66.86,1708.20
261,399.00,54.01,2274.30
1127,328.00,54.01,721.60
521,259.00,54.01,3108.00
1808,32.00,49.03,224.00
1666,16.89,66.84,60.804
2504,9.99,49.04,35.964
1748,109.00,66.87,763.00
810,19.95,54.03,199.50
24,199.90,54.01,299.85
1673,5.50,49.09,26.95
2185,163.00,49.01,1222.50
273,339.00,54.01,3220.50
2119,163.00,49.01,733.50
1798,43.00,49.02,301.00
298,309.00,49.01,293.55
2098,508.00,49.01,1828.80
466,279.00,54.01,2092.50
98,120.00,54.01,972.00
1469,200.00,54.01,360.00
1411,268.00,54.01,2680.00
866,69.99,54.00,734.895
686,149.00,54.01,372.50
1365,28.99,54.01,139.152
502,90.00,66.86,1440.00
1532,280.00,54.01,1176.00
1249,49.99,49.00,449.91
1229,1560.00,66.86,19968.00
1843,1989.00,54.01,1491.75
1450,308.00,54.01,2956.80
925,1.99,49.24,14.925
1151,410.00,49.01,1640.00
2193,229.99,54.01,827.964
715,149.00,54.01,894.00
667,190.00,54.01,285.00
846,15.60,49.03,109.20
524,179.00,54.01,268.50
1275,52.13,49.01,286.715
487,59.00,49.01,531.00
2059,99.99,49.01,449.955
2302,635.99,66.86,3129.0708
521,259.00,54.01,1813.00
2168,149.00,49.02,268.20
1810,32.00,49.03,288.00
1581,219.00,66.86,197.10
1064,627.00,66.86,2508.00
313,269.00,49.01,1345.00
490,869.00,66.86,10428.00
658,209.00,66.86,1254.00
203,799.00,66.86,3196.00
110,132.99,54.01,109.0518
2339,101.99,49.01,167.2636
2136,445.00,54.01,729.80
187,129.90,66.86,350.73
1045,588.00,66.86,7526.40
696,190.00,54.01,760.00
335,869.00,66.86,825.55
1627,17.99,54.03,140.322
1021,281.00,49.01,2163.70
958,129.00,54.01,1135.20
71,47.95,54.01,302.085
1143,328.00,54.01,2525.60
1634,9.99,49.04,51.948
2426,39.99,49.01,107.973
341,967.00,54.01,2417.50
796,16.90,48.99,33.80
1793,43.00,49.02,129.00
1196,422.00,49.01,1097.20
912,95.90,54.01,95.90
408,758.00,54.01,1895.00
1103,358.00,54.01,4009.60
1632,17.99,54.03,107.94
1557,310.00,54.01,1860.00
1998,139.99,49.01,251.982
2281,229.99,54.01,1034.955
566,999.00,54.01,1498.50
599,2295.00,66.86,3442.50
2237,29.99,49.01,53.982
1100,632.00,66.86,4929.60
1009,188.50,54.01,1885.00
1301,95.00,54.01,370.50
1552,398.00,66.86,5014.80
1923,493.00,54.01,2829.82
1591,12.66,54.02,91.152
133,349.95,54.01,629.91
1352,22.99,54.02,294.272
